Flight Data File,,,,,,,,,,,,,,,,
Test ID (TID),42,,,,,,,,,,,,,,,
Vehicle ID (VID),QC16a,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
time,modeNumber,acc1,acc2,acc3,angRate1,angRate2,angRate3,batteryVolts,motorCmds1,motorCmds2,motorCmds3,motorCmds4,pos1,pos2,pos3,isBallFlag
2017::124:12:45:06.50,3,-0.26595,-0.96503,-0.78767,0.00051667,0.0013551,-0.00058185,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:06.60,3,0.70132,0.97848,0.73077,0.00051667,-0.00077546,-0.00058185,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:06.70,3,-0.83092,1.0246,-0.46434,-0.00054859,0.0024203,0.00048341,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:06.80,3,0.42886,0.22314,0.65174,0.00051667,0.0002898,0.0015487,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:06.90,3,0.87433,0.14363,-0.30148,-0.00054859,0.0013551,-0.0016471,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:07.00,3,-0.84754,-0.44199,-0.042818,0.0015819,0.0013551,-0.00058185,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:07.10,3,0.74754,-0.80623,0.6709,-0.0016139,0.0002898,-0.0016471,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:07.20,3,-0.56962,0.35859,0.12244,-0.0016139,0.0013551,0.00048341,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:07.30,3,0.58254,-0.39106,0.14878,-0.00054859,0.0002898,-0.00058185,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:07.40,3,0.52304,-0.015158,0.12005,0.00051667,0.0002898,-0.00058185,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:07.50,3,1.1482,-0.43967,0.46972,0.00051667,-0.00077546,-0.00058185,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:07.60,3,-0.09936,-0.2284,-0.10269,0.00051667,-0.00077546,-0.00058185,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:07.70,3,-0.6259,0.56984,0.03862,0.0015819,0.0002898,-0.0016471,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:07.80,3,0.68183,0.064405,0.62061,-0.0016139,0.0002898,-0.00058185,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:07.90,3,0.21522,-0.73744,1.5786,0.0015819,-0.0018407,-0.00058185,4,0,0,0,0,0.62133,0.00227,-0.2127,1
